,title,money,authors,genre
140,「幸せをお金で買う」５つの授業 (中経出版),"￥1,584","['エリザベス・ダン', 'マイケル・ノートン']",nan
139,ハートドリブン　目に見えないものを大切にする力 (幻冬舎単行本),"￥1,410",['塩田元規'],nan
138,メモの魔力　-The Magic of Memos- (NewsPicks Book),"￥1,317",['池澤夏樹'],nan
137,多動力 (幻冬舎文庫),￥471,['堀江貴文'],nan
136,THE TEAM 5つの法則 (NewsPicks Book),"￥1,410",['麻野耕司'],nan
135,ハッタリの流儀　ソーシャル時代の新貨幣である「影響力」と「信用」を集める方法 (幻冬舎単行本),"￥1,317",['堀江貴文'],nan
134,経済学の名著50冊が１冊でざっと学べる,"￥1,485",['蔭山克秀'],nan
133,iPad仕事術! 2018 (iOS11 最新版),"￥1,100",nan,nan
132,バイシクルクラブセレクション ラクに走れるロードバイク術［雑誌］ エイムック,"￥1,019",['エイ出版社'],nan
131,"Speed Reading: Learn How to Read and Understand Faster in Just 2 hours (Reading Skills, Reading Comprehension, Read Faster, Rapid Reading) (English Edition)",￥341,['Viney Kirpal'],nan
130,お金2.0　新しい経済のルールと生き方 (NewsPicks Book),"￥1,410",['佐藤航陽'],nan
129,外資系コンサルが教える　読書を仕事につなげる技術,￥817,['山口周'],nan
128,雑学科学読本　身のまわりのすごい技術大百科,"￥1,287","['涌井\u3000良幸', '涌井\u3000貞美']",nan
127,世界史とつなげて学べ 超日本史　日本人を覚醒させる教科書が教えない歴史,"￥1,584",['茂木誠'],nan
126,１日１ページ、読むだけで身につく世界の教養３６５,"￥2,356","['デイヴィッド・Ｓ・キダー', 'ノア・Ｄ・オッペンハイム', '小林朋則']",nan
125,ロードバイク完全メンテナンス［雑誌］ エイムック,"￥1,630",['エイ出版社'],nan
124,ロードバイク 「規格」 便利帳 最新版［雑誌］ エイムック,"￥1,222",['エイ出版社'],nan
123,ロードバイクの基本　最短マスター!　改訂版［雑誌］ エイムック,"￥1,222",['エイ出版社'],nan
122,バイシクルクラブセレクション 始めよう！ロードバイク［雑誌］ エイムック,"￥1,019",['エイ出版社'],nan
121,バイシクルクラブセレクション ロードバイクをもっと楽しむ！［雑誌］ エイムック,￥917,['エイ出版社'],nan
120,ロードバイクオールカタログ 2018［雑誌］ エイムック,"￥1,935",['エイ出版社'],nan
119,原作版 左ききのエレン（１）: 横浜のバスキア,￥561,['かっぴー'],nan
118,モノやお金がなくても豊かに暮らせる,"￥1,144",['ヘンリー・ディヴィッドソロー'],nan
117,LIFE PACKING2.1 未来を生きるためのモノと知恵,"￥1,250",['高城剛'],nan
116,さおだけ屋はなぜ潰れないのか？～身近な疑問からはじめる会計学～ (光文社新書),￥261,['山田真哉'],nan
115,Dr.苫米地式資産運用法なら誰も絶対にrichになれる,￥972,['苫米地英人'],nan
114,禅マインド ビギナーズ・マインド,￥857,['鈴木俊隆'],nan
113,「我」を張らない人づきあい: 仏教対人心理学読本 (サンガ新書),￥691,['小池龍之介'],nan
112,世界は「ゆらぎ」でできている～宇宙、素粒子、人体の本質～ (光文社新書),￥726,['吉田たかよし'],nan
111,ゲーム界のトップに立った天才プログラマー　岩田聡の原点: 高校同期生26人の証言,￥690,['井上理'],nan
110,言ってはいけない格差の真実【文春e-Books】,￥204,['小松左京'],nan
109,人生の法則 「欲求の4タイプ」で分かるあなたと他人　電子版,￥825,['岡田斗司夫'],nan
108,評価経済社会・電子版プラス,￥825,['岡田斗司夫'],nan
107,エンジニアのための理論でわかるデザイン入門 ThinkIT Books,"￥1,980",['伊藤 博臣'],nan
106,広告コピーってこう書くんだ!読本,"￥1,250",['谷山雅計'],nan
105,ブログ起業: 10年9割廃業時代を生き抜くブログ×ビジネス戦略,￥280,['かん吉'],nan
104,23歳ゆとり、1年半で会社を辞めました: 新卒入社から3年以内の退職を考える,￥250,['藤沢篤'],nan
103,レールの外ってこんな景色: 若手ブロガーから見える新しい生き方,￥750,['タクスズキ'],nan
102,頭の回転が速い人の話し方: ビンワード電子増補版,￥799,['岡田斗司夫'],nan
101,破天荒フェニックス　オンデーズ再生物語 (幻冬舎文庫),￥828,['田中修治'],nan
100,才能の正体 (NewsPicks Book),"￥1,410",['坪田信貴'],nan
99,動画2.0　VISUAL STORYTELLING (NewsPicks Book),"￥1,410",['明石ガクト'],nan
98,資本家マインドセット (NewsPicks Book),"￥1,317",['三戸政和'],nan
97,実験思考　世の中、すべては実験 (NewsPicks Book),￥0,['光本勇介'],nan
96,Mac Fan 2020年2月号 [雑誌],￥756,['Mac Fan編集部'],nan
95,PIXAR 〈ピクサー〉 世界一のアニメーション企業の今まで語られなかったお金の話,"￥1,832","['ローレンス・レビー', '井口耕二']",nan
94,なぜ、あなたの仕事は終わらないのか スピードは最強の武器である,"￥1,313",['中島聡'],nan
93,仕事は楽しいかね？ (きこ書房),"￥1,123",['デイルドーテン'],nan
92,Googleアナリティクスのやさしい教科書。　手を動かしながら学ぶアクセス解析の基本と実践ポイント,"￥2,299",['山野勉'],nan
91,図解・最新　難しいことはわかりませんが、お金の増やし方を教えてください！,￥970,"['山崎元', '大橋弘祐']",nan
90,稼げる副業の成功法則: 20代会社員が副業月収50万を達成した成功ノウハウ,￥698,['小林昌裕'],nan
89,超筋トレが最強のソリューションである　筋肉が人生を変える超科学的な理由,"￥1,267","['Ｔｅｓｔｏｓｔｅｒｏｎｅ', '久保孝史', '福島モンタ']",nan
88,社会人必見！大人の教養　～年中行事と歳時記～ (SMART BOOK),￥250,['教養研究倶楽部'],nan
87,映画を英語で楽しむための会話表現とスラング（上巻）,￥900,['藤枝善之'],nan
86,映画を英語で楽しむための会話表現とスラング（下巻）,￥900,nan,nan
85,[音声DL付]起きてから寝るまで英語表現1000 起きてから寝るまでシリーズ,"￥1,188","['吉田 研作', '荒井 貴和', '武藤 克彦']",nan
84,[音声DL付]完全攻略！　英検(R)準１級 完全攻略！シリーズ,"￥1,733",['神部 孝'],nan
83,英検準１級 英単語 形容詞他　(2019年度第３回受験用),￥300,['旺文社'],nan
82,読者ゼロからのメルマガ成功術: たった5日間、9通のメールから640万円稼いだメルマガ運用法,￥500,['こもり\u3000まさあき'],nan
81,プラモデル・セールスコピーライティング: 誰でもわずか数時間で売れる文章が書ける！ 心理トリガーを使って人を動かす次世代スキル,￥99,['高橋宏和'],nan
80,38億年の叡智とつながる・未来を開く5秒の習慣 (共育ブックス),￥99,['舞香（文）'],nan
79,図解　ギリシア神話 歴史がおもしろいシリーズ,￥297,nan,nan
78,海外ドラマはたった350の単語でできている [英語マスターシリーズ],￥297,['Cozy'],nan
77,ナンパ初心者のための声かけ会話の教科書,"￥1,250",['零時レイ'],nan
76,まんがで鍛える 脳の強化書―――私、成長したいんです・・・(Business ComicSeries),"￥1,254",['加藤俊徳'],nan
75,トラウマ　ララバイ,￥99,nan,nan
74,起業で絶対に失敗したくない人の為の 科学的な第三のフリーランス起業術 ～スモールスタートアップ～,￥99,['小林正弥'],nan
73,21世紀のビジネスにデザイン思考が必要な理由,"￥1,408",['佐宗邦威'],nan
72,地球の歩き方 ガチ冒険～地球の歩き方社員の旅日記～ (地球の歩き方D-Books),￥99,['地球の歩き方ガチ冒険事業部'],nan
71,１週間で８割捨てる技術,"￥1,287",['筆子'],nan
70,潜在意識の使い方を間違っていました！: 意識が変われば体も変わる,￥99,['アレクサンダー・ロイド'],nan
69,大麻ビジネス最前線: Green Rush in 21st century (未来文庫),￥680,['佐久間裕美子'],nan
68,「統計学」のマージャン戦術 (近代麻雀戦術シリーズ),"￥1,287",['みーにん'],nan
67,超カンタンにわかる！麻雀入門　牌、役、アガリこれだけ覚えればバッチリ！,"￥1,024",['主婦の友社'],nan
66,「わかりやすい」文章を書く全技術100,￥99,['高橋俊一'],nan
65,「無理」の構造 ―この世の理不尽さを可視化する,"￥1,555",['細谷功'],nan
64,あなたを変える52の心理ルール (中経の文庫),￥634,['メンタリスト\u3000ＤａｉＧｏ'],nan
63,『引き寄せの法則』を正しく理解して活用する方法: 【左脳系スピリチュアル文庫】シークレットやエイブラハムでも語られなかった引き寄せの真実 １コインで学ぶ真理,￥450,['佐川奈津子'],nan
62,マラソンと食事: 伝統食とアミノ酸で、フルマラソンを制する (22世紀アート),￥500,['大畑誠也'],nan
